number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
38,0.40108970608084976,2026-03-11 19:32:14.708559,2026-03-11 19:32:16.245531,0 days 00:00:01.536972,0.9436274639169298,4.613215200684877,0.02320514606277991,7,4.453911655267328,600,0.007829362639271763,0.032835989545015425,0.9778536222958042,COMPLETE
39,0.4108470992425655,2026-03-11 19:32:16.245531,2026-03-11 19:32:17.202517,0 days 00:00:00.956986,0.9120017853146483,2.19531015929767,0.03007316808514496,2,2.2912552810708777,450,0.002034725147177849,0.07329724140838192,0.7692043209866886,COMPLETE
40,0.4119142352038331,2026-03-11 19:32:17.202517,2026-03-11 19:32:18.688331,0 days 00:00:01.485814,0.7111485732157405,3.8161382679686575,0.011299527639339882,6,1.64908083088296,400,0.05316737721063824,0.010865409188340088,0.9359303331849886,COMPLETE
41,0.4123158153433584,2026-03-11 19:32:18.689333,2026-03-11 19:32:19.236508,0 days 00:00:00.547175,0.9662130544812049,4.048258989908067,0.049079753336913126,4,1.1613294004281058,250,0.2463180233272958,0.006622158280161288,0.9997887952042019,COMPLETE
42,0.417206292424064,2026-03-11 19:32:19.237508,2026-03-11 19:32:19.889998,0 days 00:00:00.652490,0.9792075089833032,4.597590642580446,0.042464994181732406,4,1.4522952465987655,300,0.008762197099842073,0.015483964095260169,0.9752080324762202,COMPLETE
43,0.4139057643003895,2026-03-11 19:32:19.889998,2026-03-11 19:32:20.554637,0 days 00:00:00.664639,0.9408792712231936,4.698161935973028,0.054873113581754646,4,1.4966584687000024,300,0.00559080382058766,0.01408881455866696,0.9810853779190838,COMPLETE
44,0.4170961363121535,2026-03-11 19:32:20.554637,2026-03-11 19:32:21.531135,0 days 00:00:00.976498,0.9741624881545587,4.976827794973869,0.0382701615204123,5,1.0283745377940443,500,0.09505374536671742,0.024775794210981417,0.9160941169320143,COMPLETE
45,0.41822713318879706,2026-03-11 19:32:21.532638,2026-03-11 19:32:22.347760,0 days 00:00:00.815122,0.8646400536676021,4.15893649584901,0.027886262742194412,4,1.502570681180449,350,0.0027268216094375112,0.0021756426805423796,0.9724433742481827,COMPLETE
46,0.3996053989444096,2026-03-11 19:32:22.348762,2026-03-11 19:32:23.311069,0 days 00:00:00.962307,0.8624523499858157,4.161663707936088,0.02594577830789126,3,1.7575290093498686,350,0.00037987164564729685,0.00206961065426033,0.614316728017922,COMPLETE
47,0.3952320313122882,2026-03-11 19:32:23.311069,2026-03-11 19:32:25.265729,0 days 00:00:01.954660,0.9012940356121306,3.7873665322473733,0.022805507813402185,5,16.626524900718426,700,0.0024922250000137874,0.001913613137306435,0.6430665877040956,COMPLETE
48,0.4011295942583374,2026-03-11 19:32:25.265729,2026-03-11 19:32:26.853764,0 days 00:00:01.588035,0.8707075467647747,3.451854920533315,0.01826635012051614,5,9.928916080416338,550,0.04199640170620544,0.0071121132429425235,0.888558219106929,COMPLETE
49,0.4138085042587923,2026-03-11 19:32:26.853764,2026-03-11 19:32:27.845570,0 days 00:00:00.991806,0.8430673656434545,3.9897387218311184,0.030315094213408295,2,2.3916266357687923,400,0.0011935699728445575,0.004026065400130942,0.9344103717916837,COMPLETE
50,0.3805942950914297,2026-03-11 19:32:27.846571,2026-03-11 19:32:30.156461,0 days 00:00:02.309890,0.8952087355688775,3.3429356223880724,0.033218767350364574,4,5.029142224128313,800,0.023018389282141703,2.040397147377363,0.7125472634316611,COMPLETE
51,0.414577158447771,2026-03-11 19:32:30.157462,2026-03-11 19:32:30.862538,0 days 00:00:00.705076,0.9802571949807047,4.733310700041619,0.04095125622641267,4,1.4295897392019123,250,0.007716439711522629,0.015789101743980606,0.9791322064973162,COMPLETE
52,0.418073063433948,2026-03-11 19:32:30.863542,2026-03-11 19:32:31.681305,0 days 00:00:00.817763,0.94713321920538,4.321095775009339,0.027440485598602817,4,1.577155851010134,350,0.01063135213134296,0.0522503545534679,0.9655739734758291,COMPLETE
53,0.42305813848816776,2026-03-11 19:32:31.682306,2026-03-11 19:32:32.710879,0 days 00:00:01.028573,0.9401136212293578,4.2862679211015315,0.026772926478271418,3,1.1206806530220061,350,0.01205291253955844,0.06443995948400387,0.9577871789386775,COMPLETE
54,0.4260877553308894,2026-03-11 19:32:32.710879,2026-03-11 19:32:33.483310,0 days 00:00:00.772431,0.9209474986655836,2.937629425016044,0.027065388999467026,3,1.1188633895154094,350,0.09747027416118391,0.0549619050551649,0.9995187207156437,COMPLETE
55,0.41310151288265706,2026-03-11 19:32:33.484311,2026-03-11 19:32:34.614337,0 days 00:00:01.130026,0.9203722558309076,1.214432617863022,0.022922318095962454,3,1.012664275085093,450,0.13398477004261816,0.12418545193686126,0.9887929116793343,COMPLETE
56,0.41654225652924826,2026-03-11 19:32:34.615338,2026-03-11 19:32:35.621163,0 days 00:00:01.005825,0.884371783926139,2.7528342221674063,0.014135965908888411,2,1.1440890323678028,500,0.3670474967383562,0.07399716825478235,0.9966673105479551,COMPLETE
57,0.42003350587559957,2026-03-11 19:32:35.621163,2026-03-11 19:32:36.652396,0 days 00:00:01.031233,0.6056470054581535,2.9996081785268713,0.01712017563784788,3,1.1256705115098218,400,0.026116475001640303,0.2103944032805775,0.9646069942009444,COMPLETE
58,0.42266092353066415,2026-03-11 19:32:36.653399,2026-03-11 19:32:37.650607,0 days 00:00:00.997208,0.6798060271280157,2.4505506874281853,0.017126163490559586,3,1.2088699471496966,250,0.08865321208685983,0.17147911834736007,0.9577380314975809,COMPLETE
59,0.4158985001780179,2026-03-11 19:32:37.651608,2026-03-11 19:32:38.321297,0 days 00:00:00.669689,0.6089272118418988,2.36423423820676,0.012331082358478858,2,1.1626023110796009,250,0.07144370338290089,0.6158177170376128,0.9108405864370801,COMPLETE
