PR-AUC,ROC-AUC,Recall,Precision,F1,F2,Brier
0.514934636142748,0.6520985084980923,0.8387096774193549,0.3696682464454976,0.5131578947368421,0.6689536878216124,0.20973318815231323
0.4873114627379621,0.6518587795183539,0.8241758241758241,0.38071065989847713,0.5208333333333334,0.6684491978609626,0.20966877043247223
0.5049219107060018,0.6916617386162035,0.8876404494382022,0.3872549019607843,0.5392491467576792,0.7053571428571429,0.19865639507770538
0.4335783570073953,0.6579084967320262,0.8266666666666667,0.3054187192118227,0.4460431654676259,0.6163021868787276,0.18498139083385468
0.5426667957575246,0.6911181601903251,0.8969072164948454,0.4371859296482412,0.5878378378378378,0.7410562180579217,0.2107398509979248
0.5559979377689427,0.7291432846988403,0.8518518518518519,0.345,0.49110320284697506,0.6583969465648855,0.17858493328094482
0.500828653695648,0.7240601503759398,0.8428571428571429,0.30256410256410254,0.44528301886792454,0.6210526315789474,0.1663869023323059
0.49292625287518166,0.6443184475099369,0.7802197802197802,0.3717277486910995,0.5035460992907801,0.6396396396396397,0.20882727205753326
0.407540608738425,0.6021984924623116,0.825,0.3235294117647059,0.4647887323943662,0.6297709923664122,0.19946888089179993
0.4292105032434308,0.6402638190954774,0.925,0.34579439252336447,0.5034013605442177,0.6928838951310862,0.19492386281490326
0.40586481342670133,0.6980316531453651,0.8904109589041096,0.3217821782178218,0.4727272727272727,0.6578947368421053,0.1796758472919464
0.35730867891481666,0.5956862745098039,0.88,0.3055555555555556,0.4536082474226804,0.6395348837209303,0.1932186484336853
0.4679622374118754,0.6716355363984674,0.8850574712643678,0.385,0.5365853658536586,0.7025547445255474,0.2008790671825409
0.4962253405597793,0.6544285063752276,0.8333333333333334,0.38461538461538464,0.5263157894736842,0.6756756756756757,0.21548284590244293
0.44976828526215923,0.6683715461493239,0.8666666666666667,0.38613861386138615,0.5342465753424658,0.693950177935943,0.20702585577964783
0.47034538967518474,0.6367521367521367,0.8205128205128205,0.29906542056074764,0.4383561643835616,0.6083650190114068,0.1877986192703247
0.4822103361217288,0.6785175879396985,0.8625,0.34328358208955223,0.49110320284697506,0.6621880998080614,0.1883889138698578
0.5058173715139281,0.679963001503064,0.9247311827956989,0.4075829383886256,0.5657894736842105,0.7375643224699828,0.20891140401363373
0.4815422563084058,0.6638751656826125,0.8604651162790697,0.3523809523809524,0.5,0.6678700361010831,0.199931338429451
0.4469215718372117,0.5808532899325738,0.8043478260869565,0.3490566037735849,0.4868421052631579,0.6379310344827587,0.21708662807941437
0.4658922842622662,0.6384732288987607,0.8351648351648352,0.37438423645320196,0.5170068027210885,0.6701940035273368,0.20957103371620178
0.5404237428820233,0.7152209492635024,0.9010989010989011,0.3942307692307692,0.5484949832775919,0.7167832167832168,0.1994103044271469
0.42419429926459357,0.6760130718954249,0.88,0.3188405797101449,0.46808510638297873,0.650887573964497,0.18357323110103607
0.4855940348202089,0.6888077256407081,0.9146341463414634,0.3588516746411483,0.5154639175257731,0.6983240223463687,0.18995849788188934
0.38628944684599203,0.6021324354657687,0.7901234567901234,0.32,0.4555160142348754,0.6106870229007634,0.20176172256469727
0.46164638048946194,0.6705738705738705,0.8809523809523809,0.3627450980392157,0.5138888888888888,0.6851851851851852,0.19554610550403595
0.4580243466462677,0.7101845522898155,0.8428571428571429,0.30256410256410254,0.44528301886792454,0.6210526315789474,0.16960854828357697
0.41905141457472794,0.6477386934673367,0.8625,0.3209302325581395,0.46779661016949153,0.6448598130841121,0.1936163753271103
0.4629218202768243,0.6407995296884186,0.8666666666666667,0.3611111111111111,0.5098039215686274,0.6770833333333334,0.20842185616493225
0.4457667722582464,0.6651303820497272,0.8823529411764706,0.36231884057971014,0.5136986301369864,0.6855575868372943,0.19909678399562836
0.4441328937306284,0.6611111111111111,0.8571428571428571,0.35121951219512193,0.4982698961937716,0.6654343807763401,0.19729597866535187
