number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
37,0.4211776837392593,2026-03-01 15:30:51.261733,2026-03-01 15:30:51.786929,0 days 00:00:00.525196,0.6247718623007441,0.01086208223959739,8,90,261,80,0.001844715781291022,0.004069437944255428,0.9994337414416075,COMPLETE
38,0.4171053218323518,2026-03-01 15:30:51.788931,2026-03-01 15:30:52.349140,0 days 00:00:00.560209,0.6925307329522107,0.011486594974412765,10,90,259,163,0.0019325507270325953,0.003579896798842488,0.965696346142458,COMPLETE
39,0.41983951302483824,2026-03-01 15:30:52.351141,2026-03-01 15:30:52.980875,0 days 00:00:00.629734,0.6239972553496644,0.010253345713508171,7,61,260,85,0.006848734883521858,0.0017896749017441125,0.9208829365504431,COMPLETE
40,0.4015395014881314,2026-03-01 15:30:52.980875,2026-03-01 15:30:54.407837,0 days 00:00:01.426962,0.7534027568593455,0.010307390794938157,8,56,606,86,0.03294653429659968,0.0013569567798471759,0.9203738695923096,COMPLETE
41,0.40581946183163187,2026-03-01 15:30:54.408838,2026-03-01 15:30:55.174796,0 days 00:00:00.765958,0.6170021499327202,0.011938370260509172,7,31,272,37,0.006375059689944635,0.001876291483777301,0.9488694428911969,COMPLETE
42,0.3987296237798922,2026-03-01 15:30:55.175798,2026-03-01 15:30:57.122913,0 days 00:00:01.947115,0.6645432701217177,0.014396640890763838,8,69,908,53,0.0010083406796553187,0.007781917907697985,0.9805414869430407,COMPLETE
43,0.4181228157031615,2026-03-01 15:30:57.124915,2026-03-01 15:30:57.559974,0 days 00:00:00.435059,0.6256547521756373,0.012643395855745653,10,82,201,29,0.0005954434810529699,0.0039049802510675346,0.984814753379669,COMPLETE
44,0.4169002539387804,2026-03-01 15:30:57.561976,2026-03-01 15:30:58.155689,0 days 00:00:00.593713,0.7879220753500439,0.010106785118539453,9,126,357,110,0.027783782286433627,0.0016632563806644209,0.9074458951845016,COMPLETE
45,0.36602666031069386,2026-03-01 15:30:58.156690,2026-03-01 15:31:01.106996,0 days 00:00:02.950306,0.6184195037418699,0.02273520378263639,7,17,1183,208,0.006463524848083478,0.014883159639484783,0.9342165406586401,COMPLETE
46,0.4080108798079841,2026-03-01 15:31:01.107997,2026-03-01 15:31:01.641773,0 days 00:00:00.533776,0.7024963283313003,0.014994715948489584,6,53,261,93,0.0023002507370177396,0.0028857422108479547,0.9669748035562067,COMPLETE
47,0.4054646658109684,2026-03-01 15:31:01.642775,2026-03-01 15:31:02.441834,0 days 00:00:00.799059,0.6027895348712864,0.011156482972233045,5,36,470,82,0.0005420764886182939,0.025279029030692873,0.6699338467842406,COMPLETE
